Norwegian,English
høyre,right
historien,story
david,david
michael,michael
beskjed,message
husk,remember
tjeneste,service
føle,feel
lå,lay
høyt,loud
største,biggest
kort,card
kastet,threw
slåss,fight
vinner,winner
sjefen,boss
natten,night
skadet,hurt
skyt,shoot
rør,tube
spill,game
sjef,boss
født,born
særlig,especially
kompis,Buddy
kontoret,office
sjekke,check
huske,remember
glemte,Forgot
umulig,impossible
dessverre,unfortunately
spesielt,special
person,person
doktor,doctor
bevis,proof
sendt,sent
falt,dropped
flytte,move
mister,losing
drittsekk,assembly
plan,plan
by,city
nødt,need
forhold,relationship
vennene,friends
farvel,goodbye
klokken,clock
kult,cool
steder,places
opptatt,busy
noensinne,ever
stoler,chair
sover,sleeping
stolt,proud
skyter,shoots
raskt,quickly
mike,mike
peter,Peter
verdens,world
sjekk,check
vanlig,usual
svart,black
skynd,rush
vinne,win
rolle,role
vannet,water
ødelegge,destroy
vare,play
james,james
dame,lady
overalt,everywhere
søster,sister
tuller,jokes
smart,smart
kjørte,ran
joe,joe
skylder,owes
skriver,write
passe,fit
alvorlig,serious
skatt,tax
president,president
lykkelig,happy
menneske,human
ødelagt,broken
planen,plan
kjæresten,boyfriend
sekunder,seconds
stikk,kick
hånden,hand
drink,drink
bilde,picture
george,george
ordne,fix
leder,manager
mrs.,Mrs.
kjøpte,bought
døden,death
fest,feast
tv,TV
forstått,understand
forlate,leave
selge,sell
skål,toast
brukt,used
arbeid,work
iblant,occasionally
ordre,order
minste,minimum
sterk,strong
kamp,match
prøvd,tried
satte,set
fortsetter,continue
miste,loose
lurte,cheated
dyr,animals
bord,table
onkel,uncle
deler,part
følg,follow
søsteren,sister
savner,miss
fortjener,deserves
øl,beer
lik,equal
sju,seven
tingene,thing
plutselig,sudden
hvilket,which
sykehuset,hospital
send,sent
skipet,ship
slikt,such
søt,sweet
lyver,lie
kvinnen,the woman
møtt,over
glemt,forgotten
kroppen,the body
guds,God's
interessert,interested
mrs,Mrs
harry,harry
midt,central
ni,nine
ligge,lie
sjansen,chance
mennene,The men
interessant,interesting
lærer,teacher
skaffe,provide
okay,okay
kontroll,control
stjal,stole
savnet,missing
forelsket,in love
bill,Bill
merkelig,strange
enig,agree
lege,doctor
fungerer,works
general,general
baby,baby
usa,United States
kl,at
forbi,past
sulten,hungry
glemme,forget
lys,light
lukk,close
kalle,call
flyet,the plane
flyttet,moved
pent,pretty
verste,worst
lærte,learned
hender,hands
sluttet,ended
ære,honor
innen,within
kutt,cut
øyne,eyes
ryggen,the back
fleste,most
agent,agent
hjalp,help
eier,owner
personlig,personal
mary,Mary
jim,jim
nyheter,news
elske,love
kaste,throw
snu,authorize
dumt,stupid
hjerte,heart
sprø,crazy
blant,among
følte,felt
nydelig,gorgeous
øye,eye
arbeidet,work
fanget,captivity
danny,dordy
bob,bob
meter,meter
unnskyldning,apology
angrep,attack
morges,morning
mening,opinion
løs,loose
jentene,girls
lagt,added
jævel,bother
drikker,drinks
dumme,stupid
bilder,pictures
forrige,previous
trekk,traits
etterpå,afterwards
informasjon,information
advokat,lawyer
tilgi,forgive
pleide,used
bildet,image
folkens,guys
slutter,end
sov,sleep
både,both
jorden,earth
slike,such
kjempe,giant
levende,vivid
lukter,smells
maten,food
fbi,FBI
ma,MA
trygg,safe
film,film
betalt,paid
alex,alex
kongen,king
ordner,arrange
ferdige,ready
høy,high
møtes,meet
selger,seller
virket,worked
het,id
området,area
presidenten,president
fine,nice
kaster,throws
fru,lady
viste,knew
støtte,support
n,n
syntes,seemed
drep,kill
ræva,ass
forsvant,disappeared
skrevet,written
talt,spoken
tredje,third
telefon,telephone
lag,layer
lyset,light
reiser,index
hund,dog
slått,stroke
sjekket,checked
velge,select
pen,pretty
stakkars,poor
filmen,film
heldig,lucky
kjøper,buyer
moro,fun
nick,nick
håret,hairy
kampen,match
løy,lie
kjæreste,girlfriend
festen,party
enten,either
valgte,elected
ray,ray
bortsett,although
møtte,met
paul,Paul
munnen,mouth
nærmere,closer
måned,month
ordentlig,proper
liksom,like
forandret,changed
respekt,respect
spor,traces
kalte,called
forlot,left
oberst,colonel
takke,thank
spørsmålet,the question
møter,encounter
stakk,stick
frue,lady
himmelen,the sky
hvilke,what
ene,one
besøk,visit
dritten,shitten
pistolen,the gun
ringt,called
billy,billy
mål,goal
retten,right
halv,half
nærheten,close by
glede,happiness
merke,brand
legen,doctor
stans,stop
johnny,Johnny
london,london
frøken,miss
saker,stuff
bedt,at the
lært,taught
greier,things
årene,the years
tjener,servant
vakkert,beautiful
pleier,nurse
slutten,end
bekymre,worry
greia,thing
klær,clothes
tii,ten
tegn,symbol
hunden,the dog
trist,sad
henry,henry
gave,gift
trygt,safe
ungene,the kids
prater,talk
fange,prisoner
forferdelig,appalling
minst,smallest
martin,martin
sarah,sarah
jesus,jesus
makt,power
gravid,pregnant
båten,boat
danse,dance
steve,steve
ekstra,extra
ansvar,responsibility
spilte,played
håpet,hope
stemme,voice
fikse,fix
åh,oh
fullt,full
kvitt,rid
innom,stop by
faller,fall
hundre,hundred
meget,very
politi,police
flytt,move
lunsj,lunch
stol,chair
våpenet,weapon
såret,wound
lest,read
tjene,serve
hjernen,brain
skogen,the forest
musikk,music
svare,respond
lurt,wise
poenget,point
frisk,fresh
Jul,Christmas
krever,requires
sikkerhet,Safety
drap,kill
vakre,beautiful
sjekker,checks
dårlige,bad
bestemt,specific
herlig,lovely
bordet,table
thomas,Thomas
skip,ship
jævlig,damn
dele,share
bok,book
konge,king
o,o
nummeret,number
jake,jake
tommy,tommy
max,max
nødvendig,necessary
fører,leading
glipp,miss
likt,equally
blå,blue
minner,memories
taket,roof
sverger,swore
lete,look
starte,start
vennligst,please
leke,play
tilhører,listener
jimmy,jimmy
dypt,deep
leser,reader
trøbbel,trouble
paris,paris
nervøs,jumpy
begynt,started
nøyaktig,exact
karer,guys
drøm,dream
bakken,ground
starter,starter
mangler,missing
altfor,overly
bry,bother
trenge,need
selskap,corporation
høyere,higher
truffet,hit
knapt,barely
glemmer,forget
forresten,incidentally
sånne,such
startet,started
spiste,ate
hopp,jump
spist,eaten
kirken,the church
bytte,Exchange
stoppet,stopped
liket,corpse
trekke,migrate
ødela,destroy
håp,hope
endre,change
hemmelig,secret
will,Will
tony,tony
sikre,ensure
møttes,met
folkene,the people
overleve,survive
situasjonen,the situation
ordet,word
seriøst,seriously
omtrent,approximately
bodde,lived
inni,inside
folket,the people
hel,whole
stand,compare
målet,goal
ifølge,according to
mark,maggot
hvit,white
bevise,prove
velger,choose
dommer,judge
vinduet,window
bank,bank
gleder,pleasure
taper,loser
kast,throw
lngen,slope
glass,glass
grunnen,reason
bestemor,grandmother
stopper,stop
løytnant,lieutenant
unngå,avoid
lovet,promised
kyss,kiss
forlater,leave
åpner,opens
oppdaget,discovered
blåser,blows
dessuten,Furthermore
nøkkelen,key
overraskelse,surprise
fikser,fix
typen,the type
bygge,build
leste,read
brev,letter
tull,nonsense
nekter,refuse
dratt,go
greie,manage
menneskene,the humans
type,type
stjele,steal
våkne,wake
følelser,feelings
løpe,run
bestemmer,decide
mulighet,possibility
te,tea
låne,borrow
elskling,Darling
eldre,elder
robert,robert
sees,see
kalles,is called
fornøyd,satisfied
frokost,breakfast
ødelegger,destroy
sexy,sexy
guttene,boys
loven,law
gratis,free
ren,pure
hår,hair
engelsk,English
fars,father
beholde,keep
kontor,office
maria,maria
inntil,up to
åpen,open
drømmer,dream
bar,bar
arrestert,arrest
klærne,clothes
spesiell,special
pistol,pistol
tilfelle,occasion
kall,vocation
vin,wine
chris,chris
km,km
blodet,blood
lette,light
stjålet,stolen
beina,the legs
avtalen,Agreement
toget,train
varmt,warm
sakene,things
derfra,from there
slag,punch
vakt,guard
spennende,exciting
fulgte,followed
morsom,funny
deilig,delicious
stykker,pieces
walter,walter
le,laugh
overrasket,surprised
kjenne,feel
stadig,ever
date,date
lure,fool
varm,warm
red,red
sang,song
koster,costs
mora,mother
trekker,pulls
giftet,married
gata,street
flaks,luck
fryktelig,terribly
forandre,change
henger,trailer
øyeblikket,moment
synge,sing
gutta,the boys
angrepet,attacked
foreldre,parents
ende,end
hull,hole
spis,eat
fy,fy
nåde,grace
claire,claire
begynnelsen,beginning
takket,thanked
hvile,rest
is,ice
sersjant,sergeant
sann,like that
kjøpt,bought
amerikanske,US
eddie,eddie
løse,solve
richard,Richard
tale,speech
svaret,answer
oppdrag,mission
reglene,the rules
uskyldig,innocent
sørge,grieve
funker,works
røde,Red
skyldig,guilty
vitne,witness
vilje,will
svarer,answers
sprøtt,brittle
flytter,move
professor,professor
unger,kid
natta,night
soldater,soldiers
gull,gold
valgt,elected
sen,late
herren,the Lord
føre,plead
armen,arm
kaldt,cold
åpnet,opened
slett,erase
året,year
tida,time
of,of
amerika,America
flyr,fly
betjent,attendant
kamerat,comrade
treffer,meeting
kalt,called
start,start
gulvet,floor
skape,create
karen,guy
brenner,burner
scott,scott
våpnene,the weapons
eksempel,Example
charles,charles
forsøk,attempt
boken,book
gale,mad
direkte,direct
anna,other
løper,runs
enhver,anybody
stein,stone
ulykke,accident
toppen,top
hotellet,the hotel
frykt,fear
kjøkkenet,kitchen
enige,agreed
kødder,meat
forsvinner,disappears
halsen,throat
hesten,horse
major,major
city,city
ifra,from
bobby,bobby
rent,clean
stengt,closed
ender,end
oppfattet,perceived
minutt,minute
reis,trip
morder,killer
hest,horse
styrke,strength
bildene,images
sparken,fired
stiller,stand
jane,jane
prosent,percent
veggen,wall
alvor,seriously
oi,oi
besøke,visit
dan,dan
sykehus,hospital
washington,washington
bety,mean
adjø,goodbye
form,shape
bryte,violate
forretninger,Business
halvparten,half
vanlige,common
lettere,easier
systemet,system
pust,breath
planer,plans
behøver,needs
lyve,lie
team,team
havet,ocean
søtt,sweet
tanken,the idea
endret,changed
stemmen,voice
soldat,soldier
verken,neither
spillet,game
fanken,swung
ligner,looks like
møtet,encounter
tross,despite
street,street
neppe,hardly
dave,dave
bære,carry
løpet,race
dean,dean
lovte,promised
minne,remind
kjemper,giant
normalt,normally
rene,clean
skader,damage
hæren,army
poeng,point
munn,mouth
selvmord,suicide
titt,look
ungen,kid
kjempet,fought
teller,counter
ettermiddag,afternoon
hore,hear
pause,break
magen,stomach
onde,evil
bestefar,grandfather
løgner,liar
kule,bullet
merket,labeled
dama,lady
betalte,paid
tøff,tough
arbeider,worker
trengs,needed
skudd,shot
fulle,full
carl,Carl
kate,cate
fullstendig,complete
prat,chat
babyen,baby
rik,rich
rike,kingdom
samtidig,simultaneous
vill,wild
samlet,overall
diskutere,discuss
na,now
søker,applicant
personer,person
sara,sara
tante,aunt
million,million
kapteinen,captain
leker,toys
nærmer,approach
oppdraget,mission
butikken,store
san,san
havnet,ported
senga,the bed
sjel,soul
hellige,holy
alder,age
bærer,porter
kraft,Power
fredag,Friday
dukket,appeared
mord,murder
kjedelig,boring
hils,greet
plager,ailment
viktigste,most important
rachel,rachel
and,duck
nevnte,mention
knulle,fuck
nøklene,keys
tydeligvis,apparently
tvil,doubt
tillatelse,permission
hevn,vengeance
ordnet,orderly
ler,laugh
hemmelighet,secret
hendt,happen
løgn,lie
intet,no
evig,eternal
topp,top
hendte,happen
igjennom,through
fisk,fish
våken,alert
lee,lee
solgte,sold
rød,Red
utmerket,excellent
skriv,write
hilse,greet
sheriff,sheriff
vanligvis,usually
virke,seem
simon,simon
smerte,pain
mexico,mexico
henge,hang
gjøres,made
bussen,bus
nord,north
fremtiden,future
seng,bed
dukker,doll
spøk,joke
hentet,picked up
hoppe,jump
regnet,rained
lengre,further
william,William
overfor,opposite
fjerne,remove
fienden,the enemy
england,England
vii,vii
morgenen,morning
meningen,the
overlever,survive
jason,jason
andy,Andy
privat,private
pratet,chatted
åpenbart,obviously
rask,fast
svin,pig
gjemme,hide
angående,regarding
drit,canal
beskytter,protector
skjule,hide
styre,control
banken,bank
drikk,drink
driter,shit
daniel,daniel
elskede,beloved
rekker,reaches
havner,harbors
øya,island
love,promise
grei,easy
kjørt,run
røre,stir
eric,Eric
amy,amy
sengen,bed
lord,lord
orker,can bear
glade,happy
naturligvis,of course
samtalen,conversation
bryllupet,wedding
skru,screw
luke,Hatch
jævelen,damn
politimann,policeman
frihet,freedom
bryter,switch
mørket,the dark
omkring,about
stolte,proud
firmaet,company
adam,adam
tanke,thought
luft,air
ulovlig,illegal
les,read
jepp,yard
voksen,adult
ed,oath
tviler,doubt
pakke,package
syv,seven
sko,shoe
dekk,deck
ringen,ring
sørg,sorrow
knust,broken
college,college
lady,lady
brøt,broke
kilometer,kilometer
viktige,important
d,d
biler,cars
feiler,fail
båt,boat
regler,rules
mottatt,received
late,pretend
partner,partner
bygningen,building
kjøtt,meat
nylig,recently
gråt,blubber
leilighet,apartment
latterlig,ridiculous
samle,collect
raskere,faster
kevin,kevin
virkelige,real
forventer,expects
sporet,tracked
mobilen,mobile
bråk,noise
vokste,wage
musikken,music
damen,lady
tingen,thing
boka,book
feire,celebrate
passet,passport
skole,school
halvt,half
per,per
karene,guys
fjor,year
ulike,different
delen,the part
kle,dress
tolv,twelve
forlatt,abandoned
morderen,killer
rekke,raise
låst,lock
brødre,brothers
sterkere,stronger
drakk,drank
skaper,creator
e,e
baren,bar
stasjonen,station
foreslår,suggests
barry,barry
drive,guide
strålende,glorious
verst,worst
hank,hand
regjeringen,the government
lagde,made
spurt,asked
forsvinn,disappear
sterke,powerful
truet,threatened
kysse,kiss
mørke,darkness
oh,oh
puste,breathe
oliver,Oliver
fader,father
scenen,scene
helgen,saint
majestet,majesty
smil,smile
tøft,tough
forsvinne,disappear
personen,person
varme,heat
skai,skai
ild,fire
mester,master
farten,the speed
uka,week
lange,long
stanse,stop
mørkt,dark
suger,suck
skremmer,scare
vidt,widely
matt,mat
gjemmer,hide
foretrekker,prefer
gruppe,group
javel,Oh well
hen,then
egg,egg
forsto,understood
trygge,safe
slem,naughty
situasjon,situation
skritt,step
skapt,created
tydelig,clear
sur,sour
snilt,kind
prisen,price
ferie,holiday
kul,cool
danser,dancer
begynn,begin
grensen,border
lede,lead
mors,mother's
planlagt,planned
forskjellige,different
solgt,sold
dans,dance
solen,sun
byttet,prey
felles,common
tape,tape
fortiden,currently
nøye,carefully
tanker,mind
snakkes,talk
arthur,arthur
søte,sweet
ri,ride
press,strain
tankene,mind
våknet,woke up
kelly,kelly
presentere,present
måter,ways
advokaten,the lawyer
maggie,maggie
texas,texas
fantes,existed
nyhetene,news
flykte,escape
gjett,guess
trodd,believed
lucy,lucy
fart,speed
kald,cold
susan,Susan
komplisert,complicated
rose,rose
fatter,understand
jones,jones
handle,trade
våkner,wakes
do,die
falle,fall
gjeng,gang
listen,list
synger,singing
bein,leg
don,don
hatet,hate
skremte,frightening
amerikansk,American
modig,brave
forvirret,confused
lørdag,Saturday
toalettet,toilet
levere,deliver
beinet,bone
gråte,cry
au,au
fanger,catches
handlet,shopped
jorda,Earth
kameraet,camera
trøtt,tired
jerry,jerry
savne,miss
kjærligheten,love
bestemte,decided
fiender,enemies
etasje,story
myrdet,murdered
knuse,smash
brenne,burn
bestemme,decide
kopp,Cup
anelse,concern
kar,tub
fælt,terribly
syke,ill
skjebne,fate
hær,army
runde,round
hoppet,jumped
rettferdig,fair
brevet,the letter
hard,hard
ansatte,staff
sterkt,strong
dronning,queen
fortere,faster
california,california
felle,trap
skremme,scare
mistenkte,suspects
hindre,stop
hopper,jump
hjemmet,home
villig,willing
vist,shown
penny,penny
phil,phil
tapt,lost
bud,messenger
doc,doc
jord,earth
røyk,smoke
alan,alan
drapet,murder
latt,let
samtale,conversation
årevis,years
lyden,sound
trener,coach
middagen,dinner
ansvarlig,responsible
hode,head
kilo,kilo
følelse,feeling
lyder,sounds
kurs,course
meste,most
t,t
los,loose
førte,lead
tenner,teeth
forsvare,defend
skjønte,realized
smaker,taste
posisjon,position
vaske,wash
alice,alice
arbeide,work
miles,miles
gråter,cries
merker,brands
oppmerksomhet,attention
visse,certain
kong,king
ante,ante
later,later
offer,victim
dop,baptism
al,eel
forholdet,relationship
våger,dare
ålreit,eel
oppfører,lists
travelt,busy
forslag,suggestion
forskjell,difference
hånda,hand
bad,bath
avslutte,graduate
hemmeligheter,secrets
mareritt,nightmare
kropp,body
tomt,empty
vold,violence
regner,rains
levde,lived
fungere,operate
søren,south
forsvunnet,disappeared
howard,Howard
ensom,lonely
skam,shame
adressen,address
turen,trip
høye,tall
involvert,involved
sannsynligvis,probably
panikk,panic
søvn,sleep
luften,air
roger,roger
svak,weak
tapte,lost
brian,brian
badet,bathed
kjelleren,basement
porten,gate
unntatt,except
takler,tackles
fengselet,prison
frankrike,France
klasse,class
kim,germ
programmet,program
vits,joke
hotell,hotel
bøker,books
leonard,leonard
dekket,covered
forklarer,explain
morgan,morgan
big,big
ofre,sacrifice
ryan,ryan
liste,list
pike,girl
lykkes,succeed
linda,linda
rar,weird
data,data
kysset,kiss
forbanna,damn
blind,blind
lisa,lisa
ted,ted
smak,taste
helvetes,hell
bygget,built
varer,goods
kvinnene,the women
løfte,lift
hjørnet,corner
offentlig,public
skapte,created
hjelpen,help
